,GPU Name,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Bus Interface,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Compute Units,L1 Cache,L2 Cache,Pixel Rate,Texture Rate,FP32 (float),FP64 (double),TDP,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,SMM Count,SM Count,Tensor Cores,RT Cores,L0 Cache,L3 Cache,Name
568,Topaz,GCN 3.0,TSMC,28 nm,"1,550 million",125 mm²,"Oct 12th, 2014",Gem System Hybrid,IGP,925 MHz,940 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,24,8,6.0,16 KB (per CU),256 KB,7.520 GPixel/s,22.56 GTexel/s,721.9 GFLOPS,45.12 GFLOPS,unknown,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R6 M255DX
569,Jet,GCN 1.0,TSMC,28 nm,690 million,56 mm²,"Jan 7th, 2014",Gem System Hybrid,IGP,780 MHz,855 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,320,20,8,5.0,16 KB (per CU),128 KB,6.840 GPixel/s,17.10 GTexel/s,547.2 GFLOPS,34.20 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R6 M255DX
570,Spectre Lite,GCN 2.0,GlobalFoundries,28 nm,"2,410 million",245 mm²,"Sep 17th, 2014",GCN 2.0 IGP,IGP,,,System Shared,System Shared,System Shared,System Shared,System Dependent,384,24,8,6.0,,,4.264 GPixel/s,12.79 GTexel/s,409.3 GFLOPS,25.58 GFLOPS,17 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R6 Mobile Graphics
571,Topaz,GCN 3.0,TSMC,28 nm,"1,550 million",125 mm²,2014,All-In-One,PCIe 3.0 x8,900 MHz,980 MHz,900 MHz,1024 MB,GDDR5,128 bit,57.60 GB/s,384,24,8,6.0,16 KB (per CU),256 KB,7.840 GPixel/s,23.52 GTexel/s,752.6 GFLOPS,,unknown,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R7 A260
572,Opal,GCN 1.0,TSMC,28 nm,950 million,77 mm²,"Jan 9th, 2014",All-In-One,PCIe 3.0 x8,725 MHz,825 MHz,900 MHz,2 GB,DDR3,128 bit,28.80 GB/s,384,24,8,6.0,16 KB (per CU),256 KB,6.600 GPixel/s,19.80 GTexel/s,633.6 GFLOPS,39.60 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R7 A265
573,Topaz,GCN 3.0,TSMC,28 nm,"1,550 million",125 mm²,"Jun 11th, 2014",Gem System,PCIe 3.0 x8,940 MHz,980 MHz,900 MHz,2 GB,DDR3,64 bit,14.40 GB/s,384,24,8,6.0,16 KB (per CU),128 KB,7.840 GPixel/s,23.52 GTexel/s,752.6 GFLOPS,47.04 GFLOPS,unknown,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R7 M260
574,Jet,GCN 1.0,TSMC,28 nm,690 million,56 mm²,"Jan 7th, 2014",Gem System Hybrid,IGP,780 MHz,855 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,320,20,8,5.0,16 KB (per CU),128 KB,6.840 GPixel/s,17.10 GTexel/s,547.2 GFLOPS,34.20 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R7 M260DX
575,Topaz,GCN 3.0,TSMC,28 nm,"1,550 million",125 mm²,"Oct 12th, 2014",Gem System Hybrid,IGP,925 MHz,940 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,24,8,6.0,16 KB (per CU),256 KB,7.520 GPixel/s,22.56 GTexel/s,721.9 GFLOPS,45.12 GFLOPS,unknown,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R7 M260DX
576,Jet,GCN 1.0,TSMC,28 nm,690 million,56 mm²,"Jan 7th, 2014",Gem System Hybrid,IGP,955 MHz,1030 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,320,20,8,5.0,16 KB (per CU),128 KB,8.240 GPixel/s,20.60 GTexel/s,659.2 GFLOPS,41.20 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R7 M260DX
577,Opal,GCN 1.0,TSMC,28 nm,950 million,77 mm²,"Jan 9th, 2014",Gem System,PCIe 3.0 x8,725 MHz,825 MHz,900 MHz,2 GB,DDR3,128 bit,28.80 GB/s,384,24,8,6.0,16 KB (per CU),256 KB,6.600 GPixel/s,19.80 GTexel/s,633.6 GFLOPS,,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R7 M265
